"vid","party_code","choice","left_right_party","left_right_resp","strong_aff_1","strong_aff_2","elect_viability","media_repr_count","media_repr_mean","main_inf_source_tv","main_inf_source_radio","main_inf_source_newspapers","main_inf_source_internet","v22","v24","v31.1","v31.2","v94.1","v94.2","v95.1","v95.2","v95.3","v95.4","v95.5","v95.6","v95.7","v95.9","v87","v90","v116","v117","v132"
34,"v81_4",0,0,1,0,1,86.355,22138,714.129,1,0,0,0,4,3,3,3,3,1,1,1,1,7,1,2,3,4,1,3,3,2,4
34,"v81_5",0,10,1,0,0,15.435,7332,236.516,1,0,0,0,4,3,3,3,3,1,1,1,1,7,1,2,3,4,1,3,3,2,4
34,"v81_6",0,5,1,0,0,221.94,44857,1447,1,0,0,0,4,3,3,3,3,1,1,1,1,7,1,2,3,4,1,3,3,2,4
34,"v81_7",0,10,1,0,0,2.7,6908,222.8387,1,0,0,0,4,3,3,3,3,1,1,1,1,7,1,2,3,4,1,3,3,2,4
35,"v81_1",0,4.82375207002602,6.12751677852349,0,0,59.58,13878,447.67741,1,0,0,0,2,2,2,3,2,2,2,2,2,2,2,2,3,7,3,3,3,1,2
35,"v81_2",0,4.82375207002602,6.12751677852349,0,0,52.515,12214,394,1,0,0,0,2,2,2,3,2,2,2,2,2,2,2,2,3,7,3,3,3,1,2
35,"v81_4",0,4.82375207002602,6.12751677852349,0,0,86.355,22138,714.129,1,0,0,0,2,2,2,3,2,2,2,2,2,2,2,2,3,7,3,3,3,1,2
35,"v81_5",0,4.82375207002602,6.12751677852349,0,0,15.435,7332,236.516,1,0,0,0,2,2,2,3,2,2,2,2,2,2,2,2,3,7,3,3,3,1,2
35,"v81_6",1,4.82375207002602,6.12751677852349,1,0,221.94,44857,1447,1,0,0,0,2,2,2,3,2,2,2,2,2,2,2,2,3,7,3,3,3,1,2
35,"v81_7",0,4.82375207002602,6.12751677852349,0,0,2.7,6908,222.8387,1,0,0,0,2,2,2,3,2,2,2,2,2,2,2,2,3,7,3,3,3,1,2
36,"v81_1",0,4.82375207002602,6.12751677852349,0,0,59.58,13878,447.67741,1,0,0,0,1,1,3,1,2,2,2,2,2,2,2,3,3,7,2,3,3,3,3
36,"v81_2",0,4.82375207002602,6.12751677852349,0,0,52.515,12214,394,1,0,0,0,1,1,3,1,2,2,2,2,2,2,2,3,3,7,2,3,3,3,3
36,"v81_4",0,4.82375207002602,6.12751677852349,0,0,86.355,22138,714.129,1,0,0,0,1,1,3,1,2,2,2,2,2,2,2,3,3,7,2,3,3,3,3
36,"v81_5",0,4.82375207002602,6.12751677852349,0,0,15.435,7332,236.516,1,0,0,0,1,1,3,1,2,2,2,2,2,2,2,3,3,7,2,3,3,3,3
36,"v81_6",1,4.82375207002602,6.12751677852349,1,0,221.94,44857,1447,1,0,0,0,1,1,3,1,2,2,2,2,2,2,2,3,3,7,2,3,3,3,3
36,"v81_7",0,4.82375207002602,6.12751677852349,0,0,2.7,6908,222.8387,1,0,0,0,1,1,3,1,2,2,2,2,2,2,2,3,3,7,2,3,3,3,3
37,"v81_1",0,4,2,0,1,59.58,13878,447.67741,1,0,0,0,5,5,3,1,2,1,3,1,1,1,1,2,2,4,1,3,2,3,3
37,"v81_2",0,1,2,0,0,52.515,12214,394,1,0,0,0,5,5,3,1,2,1,3,1,1,1,1,2,2,4,1,3,2,3,3
37,"v81_4",1,1,2,0,0,86.355,22138,714.129,1,0,0,0,5,5,3,1,2,1,3,1,1,1,1,2,2,4,1,3,2,3,3
37,"v81_5",0,9,2,0,0,15.435,7332,236.516,1,0,0,0,5,5,3,1,2,1,3,1,1,1,1,2,2,4,1,3,2,3,3
37,"v81_6",0,4,2,0,0,221.94,44857,1447,1,0,0,0,5,5,3,1,2,1,3,1,1,1,1,2,2,4,1,3,2,3,3
37,"v81_7",0,9,2,0,0,2.7,6908,222.8387,1,0,0,0,5,5,3,1,2,1,3,1,1,1,1,2,2,4,1,3,2,3,3
38,"v81_1",0,4.82375207002602,9,0,0,59.58,13878,447.67741,1,0,0,0,2,3,1,4,1,2,1,4,7,2,2,4,2,4,3,3,3,2,4
38,"v81_2",0,4.82375207002602,9,0,0,52.515,12214,394,1,0,0,0,2,3,1,4,1,2,1,4,7,2,2,4,2,4,3,3,3,2,4
38,"v81_4",0,1,9,0,0,86.355,22138,714.129,1,0,0,0,2,3,1,4,1,2,1,4,7,2,2,4,2,4,3,3,3,2,4
38,"v81_5",0,4.82375207002602,9,0,0,15.435,7332,236.516,1,0,0,0,2,3,1,4,1,2,1,4,7,2,2,4,2,4,3,3,3,2,4
38,"v81_6",1,9,9,0,0,221.94,44857,1447,1,0,0,0,2,3,1,4,1,2,1,4,7,2,2,4,2,4,3,3,3,2,4
38,"v81_7",0,4.82375207002602,9,0,0,2.7,6908,222.8387,1,0,0,0,2,3,1,4,1,2,1,4,7,2,2,4,2,4,3,3,3,2,4
39,"v81_1",0,4.82375207002602,6.12751677852349,0,0,59.58,13878,447.67741,0,0,1,0,1,3,7,7,1,7,4,4,1,2,7,7,1,7,7,4,5,3,2
39,"v81_2",0,4.82375207002602,6.12751677852349,0,0,52.515,12214,394,0,0,1,0,1,3,7,7,1,7,4,4,1,2,7,7,1,7,7,4,5,3,2
39,"v81_4",0,4.82375207002602,6.12751677852349,0,0,86.355,22138,714.129,0,0,1,0,1,3,7,7,1,7,4,4,1,2,7,7,1,7,7,4,5,3,2
39,"v81_5",0,4.82375207002602,6.12751677852349,0,0,15.435,7332,236.516,0,0,1,0,1,3,7,7,1,7,4,4,1,2,7,7,1,7,7,4,5,3,2
39,"v81_6",1,4.82375207002602,6.12751677852349,0,0,221.94,44857,1447,0,0,1,0,1,3,7,7,1,7,4,4,1,2,7,7,1,7,7,4,5,3,2
39,"v81_7",0,4.82375207002602,6.12751677852349,0,0,2.7,6908,222.8387,0,0,1,0,1,3,7,7,1,7,4,4,1,2,7,7,1,7,7,4,5,3,2
40,"v81_1",0,5,3,0,0,59.58,13878,447.67741,1,0,0,0,4,4,2,2,2,2,2,3,2,3,3,2,1,2,1,3,3,3,2
40,"v81_2",0,4.82375207002602,3,0,0,52.515,12214,394,1,0,0,0,4,4,2,2,2,2,2,3,2,3,3,2,1,2,1,3,3,3,2
40,"v81_4",1,0,3,1,0,86.355,22138,714.129,1,0,0,0,4,4,2,2,2,2,2,3,2,3,3,2,1,2,1,3,3,3,2
40,"v81_5",0,6,3,0,0,15.435,7332,236.516,1,0,0,0,4,4,2,2,2,2,2,3,2,3,3,2,1,2,1,3,3,3,2
40,"v81_6",0,2,3,0,0,221.94,44857,1447,1,0,0,0,4,4,2,2,2,2,2,3,2,3,3,2,1,2,1,3,3,3,2
40,"v81_7",0,4.82375207002602,3,0,0,2.7,6908,222.8387,1,0,0,0,4,4,2,2,2,2,2,3,2,3,3,2,1,2,1,3,3,3,2
41,"v81_1",0,1,10,0,0,59.58,13878,447.67741,1,0,0,0,1,7,1,4,1,2,7,4,1,7,7,7,7,7,3,2,4,1,3
41,"v81_2",0,1,10,0,0,52.515,12214,394,1,0,0,0,1,7,1,4,1,2,7,4,1,7,7,7,7,7,3,2,4,1,3
41,"v81_4",1,1,10,0,0,86.355,22138,714.129,1,0,0,0,1,7,1,4,1,2,7,4,1,7,7,7,7,7,3,2,4,1,3
41,"v81_5",0,1,10,0,0,15.435,7332,236.516,1,0,0,0,1,7,1,4,1,2,7,4,1,7,7,7,7,7,3,2,4,1,3
41,"v81_6",0,10,10,0,0,221.94,44857,1447,1,0,0,0,1,7,1,4,1,2,7,4,1,7,7,7,7,7,3,2,4,1,3
41,"v81_7",0,1,10,0,0,2.7,6908,222.8387,1,0,0,0,1,7,1,4,1,2,7,4,1,7,7,7,7,7,3,2,4,1,3
42,"v81_1",0,4.82375207002602,6.12751677852349,0,0,59.58,13878,447.67741,1,0,0,0,2,1,1,2,2,7,7,2,7,2,7,7,2,7,3,3,4,2,4
42,"v81_2",0,4.82375207002602,6.12751677852349,0,0,52.515,12214,394,1,0,0,0,2,1,1,2,2,7,7,2,7,2,7,7,2,7,3,3,4,2,4
42,"v81_4",0,4.82375207002602,6.12751677852349,0,0,86.355,22138,714.129,1,0,0,0,2,1,1,2,2,7,7,2,7,2,7,7,2,7,3,3,4,2,4
42,"v81_5",0,4.82375207002602,6.12751677852349,0,0,15.435,7332,236.516,1,0,0,0,2,1,1,2,2,7,7,2,7,2,7,7,2,7,3,3,4,2,4
42,"v81_6",1,4.82375207002602,6.12751677852349,0,0,221.94,44857,1447,1,0,0,0,2,1,1,2,2,7,7,2,7,2,7,7,2,7,3,3,4,2,4
42,"v81_7",0,4.82375207002602,6.12751677852349,0,0,2.7,6908,222.8387,1,0,0,0,2,1,1,2,2,7,7,2,7,2,7,7,2,7,3,3,4,2,4
